"index","Normalised_ASHP_heat","Normalised_ASHP_elec","Normalised_GSHP_heat","Normalised_GSHP_elec","Normalised_Resistance_heater_heat","Normalised_Resistance_heater_elec","Normalised_Gas_boiler_heat","Normalised_Gas_boiler_gas","UK_daily_average_OAT_[degrees_C]"
"2013-12-23T21:30:00",9.142714577140321e-05,3.5918671984704756e-05,8.967445508418179e-05,3.3696912339068555e-05,6.716895020591954e-05,6.716895020591954e-05,5.688689821215702e-05,6.772249584786894e-05,7.8
"2013-12-23T22:00:00",7.685650526272695e-05,3.216965561768221e-05,8.579498928340175e-05,3.234455332251573e-05,6.263773728377272e-05,6.263773728377272e-05,5.0778735044883664e-05,6.045087670533702e-05,7.8
"2013-12-23T22:30:00",6.109650720928907e-05,2.839299851753713e-05,8.131355031220264e-05,3.1213984569613956e-05,5.6518111491010634e-05,5.6518111491010634e-05,4.709518292794486e-05,5.6065692063674366e-05,7.8
"2013-12-23T23:00:00",5.246007980536728e-05,2.5669915106436724e-05,7.697349537814821e-05,3.0332831077727765e-05,5.441176139132624e-05,5.441176139132624e-05,4.1959699414712055e-05,4.995202446304206e-05,7.8
"2013-12-23T23:30:00",4.948044409279293e-05,2.3313130418302343e-05,7.60193209755068e-05,3.0166042533513026e-05,5.400498855038606e-05,5.400498855038606e-05,4.1959699414712055e-05,4.995202446304206e-05,7.8
"2013-12-24T00:00:00",5.17171666958624e-05,2.2565526304498157e-05,7.155662504049425e-05,2.7350761567917247e-05,4.587521408863526e-05,4.587521408863526e-05,1.7385622494870196e-05,2.0697169350101168e-05,7.1
"2013-12-24T00:30:00",5.182156121121949e-05,2.3441415311127087e-05,7.184730295580118e-05,2.7460352380246952e-05,9.354261212021791e-05,9.354261212021791e-05,1.7385622494870196e-05,2.0697169350101168e-05,7.1
"2013-12-24T01:00:00",5.309135645400344e-05,2.3590905012055452e-05,7.355506630553658e-05,2.7626670600139474e-05,9.492479914025422e-05,9.492479914025422e-05,1.7591196185701238e-05,2.0941899483514488e-05,7.1
"2013-12-24T01:30:00",5.23290778716625e-05,2.3590905012055452e-05,7.27190919232643e-05,2.750855625223052e-05,9.386625120326637e-05,9.386625120326637e-05,1.7591196185701238e-05,2.0941899483514488e-05,7.1
"2013-12-24T02:00:00",5.70872808512681e-05,2.5064097165814815e-05,7.455414007098315e-05,2.810618460502613e-05,9.139987745121983e-05,9.139987745121983e-05,1.7943775076115388e-05,2.136163695523249e-05,7.1
"2013-12-24T02:30:00",5.653432281857798e-05,2.5064097165814815e-05,7.441962381799339e-05,2.810618460502613e-05,8.912665488327807e-05,8.912665488327807e-05,1.7943775076115388e-05,2.136163695523249e-05,7.1
"2013-12-24T03:00:00",6.461754041768175e-05,2.657991224272309e-05,8.031966585005847e-05,2.938689521860418e-05,8.458532911399477e-05,8.458532911399477e-05,1.9209342645252028e-05,2.2868264924315184e-05,7.1
"2013-12-24T03:30:00",6.359311459769178e-05,2.657991224272309e-05,8.026667481081009e-05,2.938689521860418e-05,7.784156371305489e-05,7.784156371305489e-05,1.9209342645252028e-05,2.2868264924315184e-05,7.1
"2013-12-24T04:00:00",6.75575954536524e-05,2.6582973721861402e-05,8.139837653828732e-05,2.940303660946933e-05,7.724094032098805e-05,7.724094032098805e-05,3.316714881365931e-05,3.948470137723001e-05,7.1
"2013-12-24T04:30:00",7.362228247001014e-05,2.9141039735729993e-05,8.152078674812821e-05,2.940303660946933e-05,7.724094032098805e-05,7.724094032098805e-05,4.241942482971442e-05,5.049931494840922e-05,7.1
"2013-12-24T05:00:00",8.62602292073717e-05,3.2591517302119604e-05,8.188024741003774e-05,2.954191691267567e-05,7.755195582929145e-05,7.755195582929145e-05,7.792945316669544e-05,9.27731600932187e-05,7.1
"2013-12-24T05:30:00",8.926571002823989e-05,3.412290378577019e-05,8.618219383506953e-05,3.0768896906379686e-05,7.775368824675478e-05,7.775368824675478e-05,0.00010066747659872449,0.00011984223457490798,7.1
"2013-12-24T06:00:00",0.00011211296759541747,4.004865454955985e-05,8.923158791124201e-05,3.1660918561786e-05,8.001729451814559e-05,8.001729451814559e-05,0.00013468996177065702,0.00016034519209726073,7.1
"2013-12-24T06:30:00",0.0001187635423406909,4.3767937327646865e-05,9.953480974475706e-05,3.4105846224106365e-05,8.001729451814559e-05,8.001729451814559e-05,0.00013468996177065702,0.00016034519209726073,7.1
"2013-12-24T07:00:00",0.00011957493397214385,4.420774826670099e-05,0.00010563928375098996,3.64411725835917e-05,7.896886642196445e-05,7.896886642196445e-05,0.0001409488210469715,0.00016779620803621548,7.1
"2013-12-24T07:30:00",0.00011905751427467091,4.3903020067924356e-05,0.00010505759921787582,3.585161317781111e-05,7.411916175805026e-05,7.411916175805026e-05,0.00013094604029238892,0.0001558881434614074,7.1
"2013-12-24T08:00:00",0.00011592235682060443,4.329988594824894e-05,0.00010335258438053643,3.5669501502146824e-05,6.518101343354595e-05,6.518101343354595e-05,0.0001091701570533806,0.0001299644766636622,7.1
"2013-12-24T08:30:00",0.000112671370200373,4.278517979482092e-05,0.00010054549300276695,3.474418298282847e-05,6.330997585888079e-05,6.330997585888079e-05,0.00010205639152951135,0.0001214957041927038,7.1
"2013-12-24T09:00:00",0.00010372894874336496,3.9420888723373565e-05,0.0001001194246256929,3.488556701997316e-05,5.897055734881629e-05,5.897055734881629e-05,7.94331831814655e-05,9.456330958575084e-05,7.1
"2013-12-24T09:30:00",0.00010002261124885307,3.778438387949824e-05,9.628615201670851e-05,3.4388764662305456e-05,5.897055734881629e-05,5.897055734881629e-05,7.820821386794941e-05,9.310501918594498e-05,7.1
"2013-12-24T10:00:00",9.24954568720166e-05,3.621585751015034e-05,9.228679372736638e-05,3.288422338179e-05,5.897055734881629e-05,5.897055734881629e-05,7.036370072392103e-05,8.376631321460872e-05,7.1
"2013-12-24T10:30:00",9.15995467359686e-05,3.525001766558385e-05,9.056537173969352e-05,3.272673292213125e-05,5.877511923454994e-05,5.877511923454994e-05,7.036370072392103e-05,8.376631321460872e-05,7.1
"2013-12-24T11:00:00",9.168575770875662e-05,3.525001766558385e-05,8.848235602069438e-05,3.213335147557605e-05,5.877511923454994e-05,5.877511923454994e-05,6.994011509977468e-05,8.32620429874647e-05,7.1
"2013-12-24T11:30:00",8.95750260746801e-05,3.4559147953012694e-05,8.601449961056145e-05,3.1624596935504296e-05,5.8549478955443406e-05,5.8549478955443406e-05,6.994011509977468e-05,8.32620429874647e-05,7.1
"2013-12-24T12:00:00",8.948579383635753e-05,3.4559147953012694e-05,8.460177822634956e-05,3.115645813522863e-05,5.818636410084452e-05,5.818636410084452e-05,6.994011509977468e-05,8.32620429874647e-05,7.1
"2013-12-24T12:30:00",8.927500461596076e-05,3.4549762447578974e-05,8.362723825603078e-05,3.103319819445614e-05,5.810099236848277e-05,5.810099236848277e-05,6.994011509977468e-05,8.32620429874647e-05,7.1
"2013-12-24T13:00:00",8.838299694789489e-05,3.316679913014837e-05,8.296192341443939e-05,3.0770089327152004e-05,5.810099236848277e-05,5.810099236848277e-05,7.036370072392103e-05,8.376631321460872e-05,7.1
"2013-12-24T13:30:00",8.838299694789489e-05,3.315846617208258e-05,8.296192341443939e-05,3.0770089327152004e-05,5.810099236848277e-05,5.810099236848277e-05,7.036370072392103e-05,8.376631321460872e-05,7.1
"2013-12-24T14:00:00",9.466483043087835e-05,3.569355972769974e-05,8.321609437120381e-05,3.07669386787184e-05,5.810099236848277e-05,5.810099236848277e-05,7.614546580524457e-05,9.064936717539189e-05,7.1
"2013-12-24T14:30:00",9.478064560970285e-05,3.598888493686711e-05,8.405152324719901e-05,3.094761315515271e-05,5.810099236848277e-05,5.810099236848277e-05,7.90109473356714e-05,9.40606541795812e-05,7.1
"2013-12-24T15:00:00",0.0001016161959385952,3.8671593889793974e-05,8.917823320114225e-05,3.205124578720651e-05,6.719455403259082e-05,6.719455403259082e-05,0.00011117167553331922,0.00013234722976713498,7.1
"2013-12-24T15:30:00",0.0001016161959385952,3.8671593889793974e-05,8.925539436466705e-05,3.205124578720651e-05,6.719455403259082e-05,6.719455403259082e-05,0.00011849748913822462,0.00014106843176653916,7.1
"2013-12-24T16:00:00",0.00011054721771314647,4.230606792597185e-05,9.519260775394544e-05,3.356136801655662e-05,8.015026517001699e-05,8.015026517001699e-05,0.00015817597921360496,0.00018830473774718973,7.1
"2013-12-24T16:30:00",0.00011089818805941028,4.230606792597185e-05,9.866206264447394e-05,3.414446876789008e-05,8.105565172921156e-05,8.105565172921156e-05,0.00015817597921360496,0.00018830473774718973,7.1
"2013-12-24T17:00:00",0.0001126781190921342,4.3578992836178744e-05,0.00010154200009124319,3.559940394554308e-05,8.444162317833741e-05,8.444162317833741e-05,0.00016493927793546616,0.00019635628865535148,7.1
"2013-12-24T17:30:00",0.00011164016751394093,4.269882894862853e-05,0.00010213462971824986,3.571109985260867e-05,8.469917207781755e-05,8.469917207781755e-05,0.00016493927793546616,0.00019635628865535148,7.1
"2013-12-24T18:00:00",0.00010796400071275326,4.166600373070569e-05,0.00010181471126775784,3.571109985260867e-05,8.469917207781755e-05,8.469917207781755e-05,0.00016272618694406624,0.00019372165024486622,7.1
"2013-12-24T18:30:00",0.00010682515844798255,4.1430778626564186e-05,0.00010217687148637184,3.5806577438436696e-05,8.469917207781755e-05,8.469917207781755e-05,0.00016272618694406624,0.00019372165024486622,7.1
"2013-12-24T19:00:00",0.00010430277938482331,4.05512581566741e-05,0.00010017159740552568,3.4887011212873356e-05,8.154492190405353e-05,8.154492190405353e-05,0.00014907883679034486,0.00017747480259683567,7.1
"2013-12-24T19:30:00",0.00010435663763917883,4.05512581566741e-05,0.0001001315796245333,3.4887011212873356e-05,8.154492190405353e-05,8.154492190405353e-05,0.00014907883679034486,0.00017747480259683567,7.1
"2013-12-24T20:00:00",0.00010281053997022285,4.0521919710105946e-05,9.646507108191788e-05,3.4773056350327074e-05,7.667228499549167e-05,7.667228499549167e-05,0.00011944321518724164,0.0001421943099305225,7.1
"2013-12-24T20:30:00",0.00010281053997022285,4.0521919710105946e-05,9.646507108191788e-05,3.4773056350327074e-05,7.667228499549167e-05,7.667228499549167e-05,0.00011660636574269087,0.00013881710367838885,7.1
"2013-12-24T21:00:00",9.59591629656252e-05,3.808016367722983e-05,9.046841848944931e-05,3.300542018984792e-05,7.191814184144812e-05,7.191814184144812e-05,7.551389542245922e-05,8.989749403939947e-05,7.1
"2013-12-24T21:30:00",9.457603879377957e-05,3.7234933172422876e-05,9.00903196964065e-05,3.289180452030726e-05,6.715836878287839e-05,6.715836878287839e-05,6.060311776268817e-05,7.214657001785899e-05,7.1
"2013-12-24T22:00:00",7.987898769589721e-05,3.30315380512803e-05,8.652980022595807e-05,3.169729613742946e-05,6.262715586073157e-05,6.262715586073157e-05,5.225471767306036e-05,6.220799820202884e-05,7.1
"2013-12-24T22:30:00",6.333898560294867e-05,2.8525236582453093e-05,8.152460529206772e-05,3.0408876750852658e-05,5.803622398858581e-05,5.803622398858581e-05,4.857116205928645e-05,5.7822813560366187e-05,7.1
"2013-12-24T23:00:00",5.4216088989107564e-05,2.6381382926220006e-05,7.635775167106818e-05,2.952772325896647e-05,5.5196790382889154e-05,5.5196790382889154e-05,4.2386456668302664e-05,5.046006855356816e-05,7.1
"2013-12-24T23:30:00",5.123645327653321e-05,2.3570747506067112e-05,7.458982177643982e-05,2.8832022668691635e-05,5.479001404511386e-05,5.479001404511386e-05,4.2386456668302664e-05,5.046006855356816e-05,7.1
"2013-12-25T00:00:00",5.192498010958104e-05,2.3084708406866247e-05,7.584422045423692e-05,3.0182407721825184e-05,4.7642699885204705e-05,4.7642699885204705e-05,1.8764667608560677e-05,2.233888913793435e-05,5.7
"2013-12-25T00:30:00",5.202936763126791e-05,2.3084708406866247e-05,7.5922892250529e-05,3.0182407721825184e-05,0.00010214067224931896,0.00010214067224931896,1.8764667608560677e-05,2.233888913793435e-05,5.7
"2013-12-25T01:00:00",5.445044338130682e-05,2.401866760574002e-05,7.80748655578862e-05,3.0348367516118986e-05,0.00010598605090145223,0.00010598605090145223,1.8970239550974163e-05,2.258361927134767e-05,5.7
"2013-12-25T01:30:00",5.3688161302130776e-05,2.3593066056153083e-05,7.723889816928414e-05,3.0251138015901136e-05,0.00010492751695180482,0.00010492751695180482,1.8970239550974163e-05,2.258361927134767e-05,5.7
"2013-12-25T02:00:00",5.916461771004951e-05,2.654910687382652e-05,7.879445827404625e-05,3.0589799502579735e-05,0.00010246113620608807,0.00010246113620608807,1.9322820189805872e-05,2.3003356743065667e-05,5.7
"2013-12-25T02:30:00",5.8611656180524276e-05,2.5864003442350827e-05,7.865993502738628e-05,3.0589799502579735e-05,0.0001012567842323772,0.0001012567842323772,1.9322820189805872e-05,2.3003356743065667e-05,5.7
"2013-12-25T03:00:00",6.61310825517689e-05,2.9136030519435727e-05,8.521478740837402e-05,3.216831632983529e-05,9.573156096202227e-05,9.573156096202227e-05,2.058838775894251e-05,2.450998471214837e-05,5.7
"2013-12-25T03:30:00",6.520892517138947e-05,2.7875376003627847e-05,8.516181035646607e-05,3.216831632983529e-05,8.764066780985328e-05,8.764066780985328e-05,2.1983296265106946e-05,2.6170591660217634e-05,5.7
"2013-12-25T04:00:00",6.896719766094668e-05,2.845452008603498e-05,8.629803698857492e-05,3.230462645923619e-05,8.517871405738508e-05,8.517871405738508e-05,3.4376238998943456e-05,4.092409569513693e-05,5.7
"2013-12-25T04:30:00",7.580281792654121e-05,3.246906163342229e-05,8.642044020474558e-05,3.230462645923619e-05,8.517871405738508e-05,8.517871405738508e-05,4.770457987930128e-05,5.679116599931789e-05,5.7
